Geneid	VM-1	VM-2	VM-3	VM-4
YLR410W-B	39632.01	34557.96	54055.58	51063.67
YLR410W-A	7048.88	6146.92	9865.47	9562.5
YLR157C-A	15748.16	10519.32	20870.66	17500.73
YLR256W-A	9134.3	6788.18	9872.11	9265.66
YLR035C-A	81825.43	66907.38	110578.45	106284.4
YLR227W-A	5859.04	3775.03	9000.11	7249.8
YLR157C-B	40788.28	27648.94	56710.47	45873.04
YLR227W-B	48124.85	33603.15	79390.98	66418.6
YPL071C	62	46	79	58.83
YPL208W	883.31	551	958.5	853.75
YPL102C	1	1	2	0
YPL217C	3251.25	1138	3652	1554.57
YPL197C	7.5	6	5.5	10.5
YPR139C	1931.21	947.69	2288.36	1318.44
YPR169W	1845.83	910.7	2230.08	1339.58
YPL257W	133.33	85	160	136
snR41	519	298	468	389
YPL009C	2876.58	1670.12	2963.5	2280.5
YPL183C	3309.25	1382.11	3622.33	2049.39
YPR065W	4856.69	4175.56	6097.62	5940.5
YPR099C	12	20	20	28
YPR032W	1967.8	1595.19	2424.96	2328.9
tM(CAU)P	0.2	0	0	0
YPR194C	528.74	308.77	438.59	371.48
YPL084W	2504.18	1987.36	2801.88	2705.58
YPR101W	141.5	125.25	179.17	181.25
YPL179W	7639.28	6849	8319.05	9021.33
YPL224C	765	579	880	797
tG(GCC)P2	1.5	3	1.5	5.5
snR17b	8199.85	5837.33	7732.5	7025.67
YPR204W	701.34	501.81	702.04	744.63
YPR103W	2374.81	2100.25	2572.75	2695.12
YPR155C	1025.18	766.28	1196.71	1021.81
YPL250W-A	12	11	19	11
YPL244C	947	507	993	755
YPR141C	778.59	5955.77	1118.79	8312.46
YPL275W	21.06	20.75	28.56	29.41
YPR156C	2752.46	961.99	2690.79	1247.12
YPL240C	6459.5	5387	6836.5	7552.12
YPR188C	463	353.48	623.25	504
YPL111W	2337.4	3218	2319.33	4310.83
YPR119W	1614.5	522	1949.08	754.96
YPL192C	100	3149	138	4182
YPL059W	1081	592.33	1103	900
YPL218W	2712	1664.25	2652.33	2263
tI(AAU)P1	0.5	1	2	6.1
YPL264C	117	118	87.5	166
YPL198W	10246.5	4678.49	12207.17	6860.29
YPL006W	3919.33	2530.33	3835.73	3572.66
YPR161C	1627.52	1007.46	1789.78	1550.35
YPL145C	5487.75	3228.5	5836.67	4460.93
YPL092W	1145.67	398.25	1113.75	561.78
YPR181C	15218.96	10581.92	15114.32	13592.67
YPR171W	973.33	682.06	1125.5	986.83
YPR122W	5436.98	4668.54	6078.31	6569.76
YPL091W	2060	1102	2197.5	1537.58
YPL137C	5564.41	3954.5	6168.67	5729.71
YPL014W	2127.75	909.33	2355.95	1199.21
YPL164C	414.5	376	513.08	562
YPL163C	1337.75	1742	1355	2297.5
YPR069C	4244.5	2286	5169.1	3385.92
YPL038W-A	7.5	9	16	13.11
YPR072W	2489.1	2148.5	3048.12	2989.45
YPR067W	462.5	417.8	545.5	591.57
YPL175W	534.62	392	658.13	629
YPL088W	1312.17	3382.67	1573.62	4736
YPL125W	3144.57	2136.08	3505.33	2931.77
YPL090C	3081	1396	3404.5	1821.92
YPR120C	231.11	118.33	318.67	159.44
YPR198W	1518.33	2633.2	1628.17	3549.83
YPR053C	412.5	261.5	413.33	377
YPR106W	315.08	289	367.25	429.42
YPL250C	1835	1614	1971.25	2143
YPL051W	311.33	193	333.33	301.73
YPR013C	733.5	514	807	738
YPL121C	2.07	0.39	0.25	0.42
YPR068C	178	138	230	242
YPR160W-A	5	5.5	9.5	6.5
YPR202W	135.26	112.23	122.22	144.33
